"BehaviorSpace results (NetLogo 6.2.1)"
"ModeloDinámicoSmallWorld.nlogo"
"clust-path-length-small-worlsd"
"05/06/2022 08:59:39:765 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-reconexiones","num-nodos","[step]","avg-path-length","global-clustering"
"143","30","100","30","3.5175757575757576","0.48108684070324986"
"142","30","100","30","3.4145454545454546","0.4872611464968153"
"144","30","100","30","3.441010101010101","0.4814027630180659"
"145","30","100","30","3.5236363636363635","0.48986125933831376"
"146","30","100","30","3.4896969696969697","0.48381962864721484"
"147","30","100","30","3.5274747474747477","0.48881789137380194"
"150","30","100","30","3.637171717171717","0.4938732019179542"
"149","30","100","30","3.437373737373737","0.48878205128205127"
"151","32","100","32","3.367070707070707","0.47823807026743576"
"152","32","100","32","3.415959595959596","0.4852941176470588"
"148","30","100","30","3.555151515151515","0.4922749067661161"
"153","32","100","32","3.467878787878788","0.4879328436516264"
"154","32","100","32","3.4260606060606063","0.4742647058823529"
"155","32","100","32","3.427676767676768","0.48138437336130047"
"156","32","100","32","3.418989898989899","0.47591623036649217"
"157","32","100","32","3.434747474747475","0.4810725552050473"
"158","32","100","32","3.3995959595959597","0.48925013109596227"
"159","32","100","32","3.457979797979798","0.48921620199894794"
"161","34","100","34","3.5034343434343436","0.479565442317641"
"164","34","100","34","3.474141414141414","0.48322147651006714"
"162","34","100","34","3.457373737373737","0.47769709543568467"
"160","32","100","32","3.5006060606060605","0.48503937007874015"
"163","34","100","34","3.4466666666666668","0.484472049689441"
"165","34","100","34","3.3436363636363637","0.47875647668393784"
