"BehaviorSpace results (NetLogo 6.2.1)"
"Difusión-Centralidad.nlogo"
"Efecto-Centralidad"
"05/07/2022 15:24:17:557 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","prob-contagio","num-nodos","[step]","ticks"
"343","10","random","50","5000","26","26"
"347","10","random","50","5000","20","20"
"345","10","random","50","5000","26","26"
"350","10","random","50","5000","20","20"
"346","10","random","50","5000","23","23"
"349","10","random","50","5000","20","20"
"348","10","random","50","5000","27","27"
"351","10","random","50","6000","21","21"
"352","10","random","50","6000","25","25"
"353","10","random","50","6000","22","22"
"354","10","random","50","6000","22","22"
"357","10","random","50","6000","21","21"
"356","10","random","50","6000","23","23"
"355","10","random","50","6000","27","27"
"358","10","random","50","6000","21","21"
"359","10","random","50","6000","21","21"
"361","10","random","50","6000","21","21"
"360","10","random","50","6000","22","22"
"363","10","random","50","6000","21","21"
"365","10","random","50","6000","24","24"
"362","10","random","50","6000","27","27"
"364","10","random","50","6000","27","27"
"367","10","random","50","6000","20","20"
"368","10","random","50","6000","19","19"
"366","10","random","50","6000","26","26"
"369","10","random","50","6000","23","23"
"371","10","random","50","6000","20","20"
"372","10","random","50","6000","23","23"
"370","10","random","50","6000","21","21"
"373","10","random","50","6000","18","18"
"375","10","random","50","6000","18","18"
"374","10","random","50","6000","21","21"
"376","10","random","50","6000","24","24"
"377","10","random","50","6000","22","22"
"378","10","random","50","6000","20","20"
"379","10","random","50","6000","23","23"
"381","10","random","50","6000","19","19"
"382","10","random","50","6000","22","22"
"380","10","random","50","6000","24","24"
"383","10","random","50","6000","19","19"
"386","10","random","50","6000","18","18"
"384","10","random","50","6000","22","22"
"385","10","random","50","6000","22","22"
"389","10","random","50","6000","19","19"
"388","10","random","50","6000","23","23"
"387","10","random","50","6000","27","27"
"390","10","random","50","6000","21","21"
"391","10","random","50","6000","27","27"
"392","10","random","50","6000","21","21"
"393","10","random","50","6000","25","25"
"394","10","random","50","6000","21","21"
"397","10","random","50","6000","18","18"
"395","10","random","50","6000","25","25"
"398","10","random","50","6000","20","20"
"396","10","random","50","6000","25","25"
"399","10","random","50","6000","28","28"
"400","10","random","50","6000","27","27"
"402","10","random","50","7000","20","20"
"401","10","random","50","7000","23","23"
"405","10","random","50","7000","20","20"
"404","10","random","50","7000","21","21"
"403","10","random","50","7000","23","23"
"406","10","random","50","7000","22","22"
"407","10","random","50","7000","19","19"
"408","10","random","50","7000","22","22"
"410","10","random","50","7000","18","18"
"409","10","random","50","7000","24","24"
"413","10","random","50","7000","20","20"
"412","10","random","50","7000","22","22"
"411","10","random","50","7000","24","24"
"414","10","random","50","7000","22","22"
"415","10","random","50","7000","18","18"
"416","10","random","50","7000","21","21"
"417","10","random","50","7000","22","22"
"418","10","random","50","7000","19","19"
"420","10","random","50","7000","21","21"
"419","10","random","50","7000","21","21"
"421","10","random","50","7000","19","19"
"422","10","random","50","7000","21","21"
"424","10","random","50","7000","19","19"
"423","10","random","50","7000","23","23"
"425","10","random","50","7000","21","21"
"426","10","random","50","7000","20","20"
"427","10","random","50","7000","20","20"
"428","10","random","50","7000","20","20"
"429","10","random","50","7000","22","22"
"430","10","random","50","7000","22","22"
"431","10","random","50","7000","21","21"
"432","10","random","50","7000","24","24"
"434","10","random","50","7000","19","19"
"433","10","random","50","7000","23","23"
"436","10","random","50","7000","22","22"
"435","10","random","50","7000","23","23"
"437","10","random","50","7000","24","24"
"439","10","random","50","7000","24","24"
"438","10","random","50","7000","21","21"
"440","10","random","50","7000","18","18"
"444","10","random","50","7000","19","19"
"442","10","random","50","7000","24","24"
"443","10","random","50","7000","27","27"
"441","10","random","50","7000","29","29"
"446","10","random","50","7000","19","19"
"448","10","random","50","7000","21","21"
"445","10","random","50","7000","23","23"
"447","10","random","50","7000","23","23"
"449","10","random","50","7000","26","26"
"451","10","random","50","8000","18","18"
"450","10","random","50","7000","27","27"
"453","10","random","50","8000","22","22"
"452","10","random","50","8000","27","27"
"456","10","random","50","8000","22","22"
"455","10","random","50","8000","23","23"
"458","10","random","50","8000","20","20"
"454","10","random","50","8000","28","28"
"457","10","random","50","8000","24","24"
"459","10","random","50","8000","26","26"
"460","10","random","50","8000","25","25"
"463","10","random","50","8000","18","18"
"461","10","random","50","8000","27","27"
"462","10","random","50","8000","23","23"
"465","10","random","50","8000","22","22"
"464","10","random","50","8000","25","25"
"466","10","random","50","8000","25","25"
"468","10","random","50","8000","21","21"
"467","10","random","50","8000","28","28"
"469","10","random","50","8000","21","21"
"471","10","random","50","8000","21","21"
"473","10","random","50","8000","20","20"
"470","10","random","50","8000","26","26"
"472","10","random","50","8000","22","22"
"474","10","random","50","8000","21","21"
"475","10","random","50","8000","23","23"
"476","10","random","50","8000","22","22"
"477","10","random","50","8000","20","20"
"479","10","random","50","8000","19","19"
"478","10","random","50","8000","22","22"
"481","10","random","50","8000","19","19"
"480","10","random","50","8000","21","21"
"482","10","random","50","8000","25","25"
"483","10","random","50","8000","23","23"
"485","10","random","50","8000","22","22"
"484","10","random","50","8000","23","23"
"486","10","random","50","8000","22","22"
"487","10","random","50","8000","24","24"
"488","10","random","50","8000","25","25"
"489","10","random","50","8000","23","23"
"490","10","random","50","8000","25","25"
"493","10","random","50","8000","18","18"
"494","10","random","50","8000","17","17"
"492","10","random","50","8000","21","21"
"491","10","random","50","8000","24","24"
"496","10","random","50","8000","19","19"
"495","10","random","50","8000","22","22"
"497","10","random","50","8000","23","23"
"498","10","random","50","8000","23","23"
"499","10","random","50","8000","22","22"
"500","10","random","50","8000","28","28"
"501","10","random","50","9000","23","23"
"504","10","random","50","9000","20","20"
"502","10","random","50","9000","27","27"
"503","10","random","50","9000","26","26"
"505","10","random","50","9000","20","20"
"506","10","random","50","9000","24","24"
"507","10","random","50","9000","20","20"
"508","10","random","50","9000","21","21"
"511","10","random","50","9000","21","21"
"509","10","random","50","9000","21","21"
"510","10","random","50","9000","21","21"
"514","10","random","50","9000","21","21"
"512","10","random","50","9000","25","25"
"513","10","random","50","9000","24","24"
"516","10","random","50","9000","24","24"
"515","10","random","50","9000","25","25"
"518","10","random","50","9000","23","23"
"519","10","random","50","9000","22","22"
"517","10","random","50","9000","29","29"
"520","10","random","50","9000","23","23"
"523","10","random","50","9000","19","19"
"524","10","random","50","9000","20","20"
"521","10","random","50","9000","25","25"
"522","10","random","50","9000","32","32"
"525","10","random","50","9000","24","24"
"526","10","random","50","9000","23","23"
"527","10","random","50","9000","23","23"
"528","10","random","50","9000","20","20"
"529","10","random","50","9000","19","19"
"531","10","random","50","9000","22","22"
"530","10","random","50","9000","22","22"
"532","10","random","50","9000","22","22"
"533","10","random","50","9000","21","21"
"534","10","random","50","9000","22","22"
"536","10","random","50","9000","22","22"
"535","10","random","50","9000","23","23"
"538","10","random","50","9000","20","20"
"537","10","random","50","9000","30","30"
"539","10","random","50","9000","24","24"
"540","10","random","50","9000","19","19"
"541","10","random","50","9000","19","19"
"542","10","random","50","9000","17","17"
"543","10","random","50","9000","21","21"
"545","10","random","50","9000","19","19"
"544","10","random","50","9000","27","27"
"546","10","random","50","9000","19","19"
"548","10","random","50","9000","21","21"
"547","10","random","50","9000","26","26"
"549","10","random","50","9000","23","23"
"550","10","random","50","9000","23","23"
"551","10","random","50","10000","20","20"
"552","10","random","50","10000","21","21"
"553","10","random","50","10000","24","24"
"554","10","random","50","10000","26","26"
"555","10","random","50","10000","20","20"
"556","10","random","50","10000","22","22"
"557","10","random","50","10000","21","21"
"558","10","random","50","10000","22","22"
"559","10","random","50","10000","21","21"
"560","10","random","50","10000","22","22"
"561","10","random","50","10000","23","23"
"563","10","random","50","10000","22","22"
"562","10","random","50","10000","26","26"
"564","10","random","50","10000","23","23"
"565","10","random","50","10000","24","24"
"567","10","random","50","10000","24","24"
"566","10","random","50","10000","25","25"
"568","10","random","50","10000","21","21"
"569","10","random","50","10000","26","26"
"571","10","random","50","10000","22","22"
"570","10","random","50","10000","22","22"
"573","10","random","50","10000","21","21"
"572","10","random","50","10000","24","24"
"574","10","random","50","10000","26","26"
"575","10","random","50","10000","22","22"
"576","10","random","50","10000","22","22"
"578","10","random","50","10000","21","21"
"577","10","random","50","10000","23","23"
"581","10","random","50","10000","21","21"
"580","10","random","50","10000","24","24"
"579","10","random","50","10000","29","29"
"583","10","random","50","10000","19","19"
"582","10","random","50","10000","23","23"
"584","10","random","50","10000","22","22"
"585","10","random","50","10000","18","18"
"586","10","random","50","10000","21","21"
"588","10","random","50","10000","21","21"
"587","10","random","50","10000","24","24"
"591","10","random","50","10000","22","22"
"590","10","random","50","10000","23","23"
"589","10","random","50","10000","26","26"
"593","10","random","50","10000","22","22"
"592","10","random","50","10000","27","27"
"594","10","random","50","10000","22","22"
"601","20","mayorgrado","50","5000","15","15"
"602","20","mayorgrado","50","5000","15","15"
"595","10","random","50","10000","23","23"
"598","10","random","50","10000","21","21"
"599","10","random","50","10000","21","21"
"596","10","random","50","10000","27","27"
"603","20","mayorgrado","50","5000","17","17"
"604","20","mayorgrado","50","5000","17","17"
"605","20","mayorgrado","50","5000","18","18"
"600","10","random","50","10000","23","23"
"597","10","random","50","10000","29","29"
"607","20","mayorgrado","50","5000","13","13"
"608","20","mayorgrado","50","5000","14","14"
"606","20","mayorgrado","50","5000","16","16"
"609","20","mayorgrado","50","5000","15","15"
"610","20","mayorgrado","50","5000","14","14"
"611","20","mayorgrado","50","5000","14","14"
"613","20","mayorgrado","50","5000","13","13"
"612","20","mayorgrado","50","5000","16","16"
"615","20","mayorgrado","50","5000","13","13"
"614","20","mayorgrado","50","5000","15","15"
"616","20","mayorgrado","50","5000","17","17"
"618","20","mayorgrado","50","5000","15","15"
"619","20","mayorgrado","50","5000","14","14"
"620","20","mayorgrado","50","5000","14","14"
"617","20","mayorgrado","50","5000","21","21"
"621","20","mayorgrado","50","5000","14","14"
"622","20","mayorgrado","50","5000","18","18"
"623","20","mayorgrado","50","5000","17","17"
"625","20","mayorgrado","50","5000","12","12"
"624","20","mayorgrado","50","5000","18","18"
"628","20","mayorgrado","50","5000","13","13"
"629","20","mayorgrado","50","5000","14","14"
"626","20","mayorgrado","50","5000","18","18"
"627","20","mayorgrado","50","5000","19","19"
"630","20","mayorgrado","50","5000","15","15"
"631","20","mayorgrado","50","5000","17","17"
"632","20","mayorgrado","50","5000","18","18"
"633","20","mayorgrado","50","5000","17","17"
"634","20","mayorgrado","50","5000","17","17"
"636","20","mayorgrado","50","5000","14","14"
"635","20","mayorgrado","50","5000","17","17"
"637","20","mayorgrado","50","5000","15","15"
"638","20","mayorgrado","50","5000","17","17"
"640","20","mayorgrado","50","5000","14","14"
"641","20","mayorgrado","50","5000","14","14"
"639","20","mayorgrado","50","5000","18","18"
"644","20","mayorgrado","50","5000","13","13"
"642","20","mayorgrado","50","5000","15","15"
"643","20","mayorgrado","50","5000","16","16"
"645","20","mayorgrado","50","5000","17","17"
"646","20","mayorgrado","50","5000","15","15"
"647","20","mayorgrado","50","5000","14","14"
"648","20","mayorgrado","50","5000","15","15"
"649","20","mayorgrado","50","5000","14","14"
"650","20","mayorgrado","50","5000","17","17"
"652","20","mayorgrado","50","6000","13","13"
"651","20","mayorgrado","50","6000","14","14"
"653","20","mayorgrado","50","6000","18","18"
"654","20","mayorgrado","50","6000","13","13"
"655","20","mayorgrado","50","6000","16","16"
"656","20","mayorgrado","50","6000","15","15"
"657","20","mayorgrado","50","6000","18","18"
"658","20","mayorgrado","50","6000","15","15"
"659","20","mayorgrado","50","6000","16","16"
"660","20","mayorgrado","50","6000","15","15"
"661","20","mayorgrado","50","6000","14","14"
