"BehaviorSpace results (NetLogo 6.2.1)"
"Vacunación-CompGigante.nlogo"
"Vacunación-ComGigante"
"05/08/2022 23:38:55:795 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","porc-iniciales","tipo-iniciales","num-nodos","[step]","tamaño-gigante"
"164","6","mayorgrado","200","3","35"
"163","6","mayorgrado","200","6","13"
"161","6","mayorgrado","200","2","36"
"165","6","mayorgrado","200","4","17"
"164","6","mayorgrado","200","4","21"
"161","6","mayorgrado","200","3","36"
"165","6","mayorgrado","200","5","17"
"163","6","mayorgrado","200","7","9"
"164","6","mayorgrado","200","5","21"
"149","2","eigen","300","4","117"
"165","6","mayorgrado","200","6","17"
"163","6","mayorgrado","200","8","9"
"164","6","mayorgrado","200","6","21"
"162","6","mayorgrado","200","2","72"
"166","6","mayorgrado","200","0","200"
"165","6","mayorgrado","200","7","17"
"163","6","mayorgrado","200","9","9"
"164","6","mayorgrado","200","7","21"
"165","6","mayorgrado","200","8","17"
"163","6","mayorgrado","200","10","9"
"161","6","mayorgrado","200","4","20"
"165","6","mayorgrado","200","9","17"
"163","6","mayorgrado","200","11","9"
"164","6","mayorgrado","200","8","19"
"162","6","mayorgrado","200","3","65"
"165","6","mayorgrado","200","10","17"
"164","6","mayorgrado","200","9","19"
"166","6","mayorgrado","200","1","142"
"165","6","mayorgrado","200","11","17"
"167","6","mayorgrado","200","0","200"
"164","6","mayorgrado","200","10","19"
"161","6","mayorgrado","200","5","19"
"167","6","mayorgrado","200","1","34"
"164","6","mayorgrado","200","11","9"
"162","6","mayorgrado","200","4","30"
"168","6","mayorgrado","200","0","200"
"167","6","mayorgrado","200","2","25"
"166","6","mayorgrado","200","2","81"
"168","6","mayorgrado","200","1","105"
"167","6","mayorgrado","200","3","25"
"169","6","mayorgrado","200","0","200"
"161","6","mayorgrado","200","6","19"
"168","6","mayorgrado","200","2","105"
"162","6","mayorgrado","200","5","30"
"166","6","mayorgrado","200","3","43"
"167","6","mayorgrado","200","4","23"
"169","6","mayorgrado","200","1","41"
"161","6","mayorgrado","200","7","16"
"167","6","mayorgrado","200","5","23"
"168","6","mayorgrado","200","3","63"
"166","6","mayorgrado","200","4","43"
"162","6","mayorgrado","200","6","30"
"169","6","mayorgrado","200","2","41"
"166","6","mayorgrado","200","5","31"
"168","6","mayorgrado","200","4","44"
"161","6","mayorgrado","200","8","16"
"167","6","mayorgrado","200","6","23"
"169","6","mayorgrado","200","3","41"
"162","6","mayorgrado","200","7","30"
"166","6","mayorgrado","200","6","31"
"167","6","mayorgrado","200","7","15"
"168","6","mayorgrado","200","5","44"
"161","6","mayorgrado","200","9","16"
"169","6","mayorgrado","200","4","41"
"162","6","mayorgrado","200","8","23"
"168","6","mayorgrado","200","6","22"
"166","6","mayorgrado","200","7","31"
"167","6","mayorgrado","200","8","15"
"161","6","mayorgrado","200","10","16"
"162","6","mayorgrado","200","9","23"
"168","6","mayorgrado","200","7","22"
"169","6","mayorgrado","200","5","41"
"167","6","mayorgrado","200","9","15"
"166","6","mayorgrado","200","8","31"
"161","6","mayorgrado","200","11","10"
"168","6","mayorgrado","200","8","22"
"162","6","mayorgrado","200","10","13"
"169","6","mayorgrado","200","6","14"
"167","6","mayorgrado","200","10","10"
"166","6","mayorgrado","200","9","16"
"168","6","mayorgrado","200","9","22"
"169","6","mayorgrado","200","7","14"
"162","6","mayorgrado","200","11","10"
"167","6","mayorgrado","200","11","7"
"168","6","mayorgrado","200","10","14"
"166","6","mayorgrado","200","10","16"
"169","6","mayorgrado","200","8","14"
"168","6","mayorgrado","200","11","7"
"169","6","mayorgrado","200","9","14"
"170","6","mayorgrado","200","0","200"
"171","6","mayorgrado","300","0","300"
"166","6","mayorgrado","200","11","16"
"172","6","mayorgrado","300","0","300"
"169","6","mayorgrado","200","10","14"
"171","6","mayorgrado","300","1","91"
"169","6","mayorgrado","200","11","14"
"173","6","mayorgrado","300","0","300"
"172","6","mayorgrado","300","1","107"
"171","6","mayorgrado","300","2","91"
"170","6","mayorgrado","200","1","139"
"174","6","mayorgrado","300","0","300"
"173","6","mayorgrado","300","1","225"
"171","6","mayorgrado","300","3","28"
"170","6","mayorgrado","200","2","71"
"172","6","mayorgrado","300","2","58"
"175","6","mayorgrado","300","0","300"
"173","6","mayorgrado","300","2","136"
"171","6","mayorgrado","300","4","25"
"174","6","mayorgrado","300","1","47"
"170","6","mayorgrado","200","3","27"
"175","6","mayorgrado","300","1","215"
"173","6","mayorgrado","300","3","35"
"172","6","mayorgrado","300","3","46"
"171","6","mayorgrado","300","5","25"
"174","6","mayorgrado","300","2","47"
"175","6","mayorgrado","300","2","74"
"173","6","mayorgrado","300","4","35"
"170","6","mayorgrado","200","4","27"
"172","6","mayorgrado","300","4","46"
"171","6","mayorgrado","300","6","13"
"175","6","mayorgrado","300","3","74"
"174","6","mayorgrado","300","3","47"
"173","6","mayorgrado","300","5","35"
"170","6","mayorgrado","200","5","27"
"171","6","mayorgrado","300","7","13"
"175","6","mayorgrado","300","4","37"
"172","6","mayorgrado","300","5","46"
"170","6","mayorgrado","200","6","15"
"173","6","mayorgrado","300","6","21"
"171","6","mayorgrado","300","8","13"
"175","6","mayorgrado","300","5","37"
"172","6","mayorgrado","300","6","30"
"170","6","mayorgrado","200","7","15"
"173","6","mayorgrado","300","7","21"
"175","6","mayorgrado","300","6","37"
"170","6","mayorgrado","200","8","10"
"172","6","mayorgrado","300","7","30"
"170","6","mayorgrado","200","9","10"
"173","6","mayorgrado","300","8","21"
"150","2","eigen","300","2","103"
"172","6","mayorgrado","300","8","30"
"175","6","mayorgrado","300","7","37"
"174","6","mayorgrado","300","4","47"
"173","6","mayorgrado","300","9","21"
